C,L_ctx,cost,loss_p0,N_B_p0,D_B_p0,u_max_p0,loss_pstar,N_B_pstar,D_B_pstar,u_max_pstar,predicted_pstar_loss_reduction
1e+19,131072,exponential,3.303677799015655,0.11196811838797383,2.660895557068033,0.1136718029556062,3.2646594522655903,0.11080841827933952,2.712949598932955,0.0920073258409263,0.03901834675006466
1e+19,131072,power,3.3131277744099945,0.11658277336569274,2.4682501079136223,0.1136718029556062,3.2720432273428313,0.1145198012454188,2.551629005042107,0.0920073258409263,0.041084547067163246
1e+19,131072,logarithmic,3.3064859007558853,0.1133473999680287,2.600959240176183,0.1136718029556062,3.2674184991393322,0.11220139645758495,2.650610247802185,0.0920073258409263,0.03906740161655309
1e+22,2048,exponential,2.123508804132902,5.034393986859793,308.45538674475455,0.1136718029556062,2.1135708195320575,5.028151920989569,309.1683169420236,0.0920073258409263,0.009937984600844718
1e+22,2048,power,2.123805475005891,5.060227391985673,305.5315632900558,0.1136718029556062,2.1137987921034735,5.0484838513685535,306.8553908917544,0.0920073258409263,0.010006682902417463
1e+22,2048,logarithmic,2.123595495206,5.041949776843187,307.5957871320583,0.1136718029556062,2.1136549705055927,5.0356618692754775,308.31088588545333,0.0920073258409263,0.009940524700407405
1e+22,4096,exponential,2.127641940835562,4.894651634413832,298.2514481224421,0.1136718029556062,2.117611583807757,4.888782768530065,298.91804465766216,0.0920073258409263,0.010030357027805081
1e+22,4096,power,2.12793154388379,4.918945168779849,295.5163076431524,0.1136718029556062,2.1178341077997263,4.907900711660251,296.7549706579284,0.0920073258409263,0.010097436084063549
1e+22,4096,logarithmic,2.1277265598766415,4.901756269171549,297.44754393012056,0.1136718029556062,2.1176937189558505,4.895843766779725,298.1163228163506,0.0920073258409263,0.010032840920791042
1e+22,8192,exponential,2.1353146338094584,4.648778997662587,280.4232520448446,0.1136718029556062,2.1251126538808904,4.643536847813482,281.0126223273854,0.0920073258409263,0.010201979928567972
1e+22,8192,power,2.1355917183692523,4.67048558493707,278.0029116442579,0.1136718029556062,2.1253255298411546,4.660615776944517,279.0994229047529,0.0920073258409263,0.010266188528097686
1e+22,8192,logarithmic,2.1353955838282594,4.655125873987014,279.71221798796716,0.1136718029556062,2.1251912201730963,4.649843910614126,280.303757064078,0.0920073258409263,0.010204363655163196
1e+22,32768,exponential,2.170544772891353,3.7102747811201495,214.00237683340643,0.1136718029556062,2.1595527018427183,3.707078987618209,214.34579976579224,0.0920073258409263,0.010992071048634866
1e+22,32768,power,2.1707730141686077,3.723524470296482,212.58753780220616,0.1136718029556062,2.1597279633092192,3.7174966452325,213.22941735124263,0.0920073258409263,0.01104505085938845
1e+22,32768,logarithmic,2.1706114187620056,3.714146152801294,213.58748746419946,0.1136718029556062,2.1596173620611605,3.710924180420774,213.93269519726525,0.0920073258409263,0.010994056700845078
1e+22,131072,exponential,2.245260032453872,2.4207286567951507,127.98612636453922,0.1136718029556062,2.2325844742212455,2.4194801868173728,128.10904510136098,0.0920073258409263,0.01267555823262656
1e+22,131072,power,2.245417808709872,2.4259132705590307,127.4776075326912,0.1136718029556062,2.232705546515441,2.423552888399438,127.70873334478867,0.0920073258409263,0.012712262194431112
1e+22,131072,logarithmic,2.245306071550513,2.422242116984479,127.83736085547173,0.1136718029556062,2.2326291208754214,2.4209824490146663,127.9611613006722,0.0920073258409263,0.012676950675091447
1e+24,2048,exponential,1.9035654509865525,40.081415204571776,3890.1879856837772,0.1136718029556062,1.8986978102848857,40.075124251250735,3891.3244197263975,0.0920073258409263,0.004867640701666787
1e+24,2048,power,1.9035839120063869,40.107584880900944,3885.466016352616,0.1136718029556062,1.8987119668364585,40.09566175948161,3887.616291303522,0.0920073258409263,0.004871945169928393
1e+24,2048,logarithmic,1.9035708341093556,40.08904704119045,3888.8100115898987,0.1136718029556062,1.898703028076517,40.082694558306436,3889.956938290246,0.0920073258409263,0.004867806032838651
1e+24,4096,exponential,1.9056069192171,38.974980048183824,3760.397526195787,0.1136718029556062,1.9006929302429167,38.96906674338145,3761.4594053649707,0.0920073258409263,0.004913988974183159
