转出,转入,delta,问题一损失差,广义损失差_情景,一阶近似
pubmed_central,philpapers,0.005,-0.002727705266940994,-0.0003301233377395185,-0.000521568625184802
pubmed_central,stackexchange,0.005,-0.0010329635728965059,-0.0001250414573279457,-0.0001377211010619032
pubmed_central,enron_emails,0.005,-0.006346258655842263,-0.0007677218626382931,-0.0014139595815651769
pubmed_central,gutenberg_pg_19,0.005,0.00028374299926969826,3.435296969778179e-05,2.1072234742155087e-05
pubmed_central,pile_cc,0.005,-0.0002691784074597692,-3.258741478795457e-05,-4.199791011918639e-05
pubmed_central,ubuntu_irc,0.005,-0.008418006472457051,-0.0010180875144398804,-0.0011668675265132484
pubmed_central,europarl,0.005,0.0016690304964308567,0.00020210505231332831,0.00019699428983251864
pubmed_central,hackernews,0.005,-0.005232893072919076,-0.0006331218046091713,-0.0007946201676805117
pubmed_central,pubmed_abstracts,0.005,5.4132308812349095e-05,6.553653191243569e-06,-5.261155696727835e-06
pubmed_central,uspto_backgrounds,0.005,0.00027571966345707466,3.3381545801791646e-05,2.331884585763523e-05
wikipedia_en,arxiv,0.005,0.0007223973273600137,8.746586989749616e-05,7.593694492906986e-05
wikipedia_en,freelaw,0.005,0.0006263479604697864,7.58355851684378e-05,6.345396338351824e-05
wikipedia_en,nih_exporter,0.005,-0.0006736261140982691,-8.154682721128736e-05,-0.0001971332088633382
wikipedia_en,pubmed_central,0.005,0.000392466109898848,4.751678858783137e-05,3.515089606397465e-05
wikipedia_en,dm_mathematics,0.005,-0.007557745625936363,-0.0009141425390422064,-0.0010294446039660536
wikipedia_en,github,0.005,0.0006104548215031258,7.391116650268259e-05,6.201298692200403e-05
wikipedia_en,philpapers,0.005,-0.0024075820701554562,-0.0002913915339597395,-0.00048641772912082725
wikipedia_en,stackexchange,0.005,-0.0007128403761109681,-8.629355407041572e-05,-0.00010257020499792855
wikipedia_en,enron_emails,0.005,-0.006026135459056725,-0.0007290244115174538,-0.0013788086855012023
wikipedia_en,gutenberg_pg_19,0.005,0.0006038661960552361,7.311338584603533e-05,5.6223130806129736e-05
wikipedia_en,pile_cc,0.005,5.0944789325768625e-05,6.167746360308257e-06,-6.8470140552117494e-06
wikipedia_en,ubuntu_irc,0.005,-0.008097883275671514,-0.0009794097176945016,-0.001131716630449274
wikipedia_en,europarl,0.005,0.0019891536932163945,0.00024087863745014815,0.0002321451858964933
wikipedia_en,hackernews,0.005,-0.004912769876133538,-0.0005944137870224075,-0.0007594692716165371
wikipedia_en,pubmed_abstracts,0.005,0.0003742555055978869,4.5311887018506525e-05,2.9889740367246813e-05
wikipedia_en,uspto_backgrounds,0.005,0.0005958428602426125,7.214188569060198e-05,5.8469741921609874e-05
dm_mathematics,arxiv,0.005,0.010291143875665654,0.001247486263059372,0.0011053815488951235
dm_mathematics,freelaw,0.005,0.010195094508775426,0.0012358286567808463,0.0010928985673495718
dm_mathematics,nih_exporter,0.005,0.008895120434208259,0.001078076525902194,0.0008323113951027153
dm_mathematics,pubmed_central,0.005,0.009961212658204488,0.001207443334450442,0.001064595500030028
dm_mathematics,wikipedia_en,0.005,0.009697123052477608,0.0011753937722880359,0.0010294446039660536
dm_mathematics,github,0.005,0.010179201369809654,0.001233899717322906,0.0010914575908880576
dm_mathematics,philpapers,0.005,0.007161164478151072,0.0008677388576536771,0.0005430268748452263
dm_mathematics,stackexchange,0.005,0.00885590617219556,0.001073318648160626,0.000926874398968125
dm_mathematics,enron_emails,0.005,0.003542611089249803,0.0004290779047968485,-0.00034936408153514876
dm_mathematics,gutenberg_pg_19,0.005,0.010172612744361764,0.0012331000625418476,0.0010856677347721832
dm_mathematics,pile_cc,0.005,0.009619691337632297,0.0011659971561734928,0.0010225975899108416
dm_mathematics,ubuntu_irc,0.005,0.0014708632726350146,0.0001781044002417964,-0.00010227202648322035
dm_mathematics,europarl,0.005,0.011557900241522034,0.001401259423729595,0.0012615897898625467
dm_mathematics,hackernews,0.005,0.004655976672172102,0.0005640047529236192,0.00026997533234951633
dm_mathematics,pubmed_abstracts,0.005,0.009943002053904415,0.001205233253186222,0.0010593343443333003
dm_mathematics,uspto_backgrounds,0.005,0.01016458940854914,0.0012321262801644473,0.0010879143458876633
