Model,task,raw_accuracy,chance_baseline,normalized_score,file
01-ai/Yi-34B-200K,leaderboard_musr_object_placements,0.28515625,0.2,10.644531249999998,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B-200K/results_2024-06-17T01-54-37.398814.json
01-ai/Yi-34B-200K,leaderboard_musr_team_allocation,0.272,0.3333333333333333,0.0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B-200K/results_2024-06-17T01-54-37.398814.json
01-ai/Yi-34B-Chat,leaderboard_musr_murder_mysteries,0.556,0.5,11.20000000000001,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B-Chat/results_2025-02-13T18-27-04.338360.json
01-ai/Yi-34B-Chat,leaderboard_musr_object_placements,0.26953125,0.2,8.691406249999998,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B-Chat/results_2025-02-13T18-27-04.338360.json
01-ai/Yi-34B-Chat,leaderboard_musr_team_allocation,0.368,0.3333333333333333,5.200000000000001,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-34B-Chat/results_2025-02-13T18-27-04.338360.json
01-ai/Yi-6B,leaderboard_musr_murder_mysteries,0.524,0.5,4.800000000000004,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B/results_2024-06-16T17-47-09.271300.json
01-ai/Yi-6B,leaderboard_musr_object_placements,0.2890625,0.2,11.132812499999998,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B/results_2024-06-16T17-47-09.271300.json
01-ai/Yi-6B,leaderboard_musr_team_allocation,0.368,0.3333333333333333,5.200000000000001,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B/results_2024-06-16T17-47-09.271300.json
01-ai/Yi-6B-200K,leaderboard_musr_murder_mysteries,0.544,0.5,8.800000000000008,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B-200K/results_2024-06-16T17-48-55.414532.json
01-ai/Yi-6B-200K,leaderboard_musr_object_placements,0.32421875,0.2,15.527343749999996,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B-200K/results_2024-06-16T17-48-55.414532.json
01-ai/Yi-6B-200K,leaderboard_musr_team_allocation,0.508,0.3333333333333333,26.200000000000003,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B-200K/results_2024-06-16T17-48-55.414532.json
01-ai/Yi-6B-Chat,leaderboard_musr_murder_mysteries,0.512,0.5,2.400000000000002,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B-Chat/results_2024-06-16T17-51-39.036011.json
01-ai/Yi-6B-Chat,leaderboard_musr_object_placements,0.234375,0.2,4.296874999999998,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B-Chat/results_2024-06-16T17-51-39.036011.json
01-ai/Yi-6B-Chat,leaderboard_musr_team_allocation,0.36,0.3333333333333333,4.0,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-6B-Chat/results_2024-06-16T17-51-39.036011.json
01-ai/Yi-9B,leaderboard_musr_murder_mysteries,0.548,0.5,9.600000000000009,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-9B/results_2024-06-17T09-47-58.683900.json
01-ai/Yi-9B,leaderboard_musr_object_placements,0.32421875,0.2,15.527343749999996,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-9B/results_2024-06-17T09-47-58.683900.json
01-ai/Yi-9B,leaderboard_musr_team_allocation,0.344,0.3333333333333333,1.5999999999999983,real_attachments/C_efficiency_evolution/detailed_results/01-ai_Yi-9B/results_2024-06-17T09-47-58.683900.json
