Model,MuSR_rebuilt,complete,file,MUSR,type,S,date,difference
Krystalan/DRT-o1-14B,19.83880208333333,True,real_attachments/C_efficiency_evolution/detailed_results/Krystalan_DRT-o1-14B/results_2025-02-13T18-27-04.338360.json,19.83880208333333,chat_finetuned,36.16608563724584,2024-12-27,0.0
Krystalan/DRT-o1-7B,24.08203125,True,real_attachments/C_efficiency_evolution/detailed_results/Krystalan_DRT-o1-7B/results_2025-02-13T18-27-04.338360.json,24.08203125,merge,31.402661796813607,2025-02-05,0.0
Kukedlc/NeuralExperiment-7b-MagicCoder-v7.5,13.058072916666665,True,real_attachments/C_efficiency_evolution/detailed_results/Kukedlc_NeuralExperiment-7b-MagicCoder-v7.5/results_2025-02-13T18-27-04.338360.json,13.058072916666664,chat_finetuned,18.006004625989025,2024-07-30,1.7763568394002505e-15
Kukedlc/NeuralLLaMa-3-8b-DT-v0.1,9.68932291666667,True,real_attachments/C_efficiency_evolution/detailed_results/Kukedlc_NeuralLLaMa-3-8b-DT-v0.1/results_2024-09-18T14-44-45.615531.json,,,,,
Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3,3.65390625,True,real_attachments/C_efficiency_evolution/detailed_results/Kukedlc_NeuralLLaMa-3-8b-ORPO-v0.3/results_2025-02-13T18-27-04.338360.json,3.65390625,chat_finetuned,17.748741624089156,2024-07-28,0.0
Kukedlc/NeuralSynthesis-7B-v0.1,13.160156250000005,True,real_attachments/C_efficiency_evolution/detailed_results/Kukedlc_NeuralSynthesis-7B-v0.1/results_2025-02-13T18-27-04.338360.json,13.160156250000004,merge,20.015676781413074,2024-06-29,1.7763568394002505e-15
Kukedlc/NeuralSynthesis-7B-v0.3,13.389583333333329,True,real_attachments/C_efficiency_evolution/detailed_results/Kukedlc_NeuralSynthesis-7B-v0.3/results_2025-02-13T18-27-04.338360.json,13.389583333333327,merge,20.095272707991136,2024-07-31,1.7763568394002505e-15
Kukedlc/NeuralSynthesis-7b-v0.4-slerp,13.056250000000004,True,real_attachments/C_efficiency_evolution/detailed_results/Kukedlc_NeuralSynthesis-7b-v0.4-slerp/results_2025-02-13T18-27-04.338360.json,13.056250000000004,merge,19.530512651958592,2024-07-31,0.0
Kukedlc/Qwen-2.5-7b-Spanish-o1-CoT,18.442968750000002,True,real_attachments/C_efficiency_evolution/detailed_results/Kukedlc_Qwen-2.5-7b-Spanish-o1-CoT/results_2024-12-04T02-31-08.583409.json,18.44296875,chat_finetuned,28.573639430598366,2024-12-04,3.552713678800501e-15
Kumar955/Hemanth-llm,14.503645833333335,True,real_attachments/C_efficiency_evolution/detailed_results/Kumar955_Hemanth-llm/results_2025-02-13T18-27-04.338360.json,,,,,
LEESM/llama-2-7b-hf-lora-oki100p,3.5578125000000003,True,real_attachments/C_efficiency_evolution/detailed_results/LEESM_llama-2-7b-hf-lora-oki100p/results_2024-11-10T03-46-21.542307.json,3.5578125000000003,chat_finetuned,8.782858998727155,2024-11-08,0.0
LEESM/llama-2-7b-hf-lora-oki10p,1.1067708333333328,True,real_attachments/C_efficiency_evolution/detailed_results/LEESM_llama-2-7b-hf-lora-oki10p/results_2024-11-10T03-44-42.609036.json,1.1067708333333328,chat_finetuned,7.168375740980447,2024-11-08,0.0
LEESM/llama-3-8b-bnb-4b-kowiki231101,3.0598958333333326,True,real_attachments/C_efficiency_evolution/detailed_results/LEESM_llama-3-8b-bnb-4b-kowiki231101/results_2025-02-13T18-27-04.338360.json,3.0598958333333326,chat_finetuned,9.47249832488312,2024-11-08,0.0
LEESM/llama-3-Korean-Bllossom-8B-trexlab-oki10p,7.665885416666669,True,real_attachments/C_efficiency_evolution/detailed_results/LEESM_llama-3-Korean-Bllossom-8B-trexlab-oki10p/results_2025-02-13T18-27-04.338360.json,7.665885416666669,chat_finetuned,13.509662923847067,2024-11-08,0.0
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,3.298958333333333,True,real_attachments/C_efficiency_evolution/detailed_results/LGAI-EXAONE_EXAONE-3.0-7.8B-Instruct/results_2025-02-13T18-27-04.338360.json,,,,,
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,3.165625,True,real_attachments/C_efficiency_evolution/detailed_results/LGAI-EXAONE_EXAONE-3.5-2.4B-Instruct/results_2025-02-13T18-27-04.338360.json,,,,,
LGAI-EXAONE/EXAONE-3.5-32B-Instruct,5.150000000000001,True,real_attachments/C_efficiency_evolution/detailed_results/LGAI-EXAONE_EXAONE-3.5-32B-Instruct/results_2025-02-13T18-27-04.338360.json,,,,,
LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,4.9421875,True,real_attachments/C_efficiency_evolution/detailed_results/LGAI-EXAONE_EXAONE-3.5-7.8B-Instruct/results_2025-02-13T18-27-04.338360.json,,,,,
LLM360/K2,8.550000000000004,True,real_attachments/C_efficiency_evolution/detailed_results/LLM360_K2/results_2025-02-13T18-27-04.338360.json,8.550000000000004,pretrained,14.643753289939289,2024-06-26,0.0
LLM360/K2-Chat,16.824999999999996,True,real_attachments/C_efficiency_evolution/detailed_results/LLM360_K2-Chat/results_2025-02-13T18-27-04.338360.json,16.824999999999996,chat_finetuned,24.387145154830876,2024-06-12,0.0
LLM4Binary/llm4decompile-1.3b-v2,9.430468750000001,True,real_attachments/C_efficiency_evolution/detailed_results/LLM4Binary_llm4decompile-1.3b-v2/results_2025-02-13T18-27-04.338360.json,9.43046875,chat_finetuned,6.93902486034668,2024-11-16,1.7763568394002505e-15
Lambent/qwen2.5-reinstruct-alternate-lumen-14B,19.624999999999996,True,real_attachments/C_efficiency_evolution/detailed_results/Lambent_qwen2.5-reinstruct-alternate-lumen-14B/results_2024-09-28T11-34-19.772653.json,,,,,
Langboat/Mengzi3-8B-Chat,9.040625,True,real_attachments/C_efficiency_evolution/detailed_results/Langboat_Mengzi3-8B-Chat/results_2025-02-13T18-27-04.338360.json,9.040625,chat_finetuned,20.28829250015946,2024-10-21,0.0
LenguajeNaturalAI/leniachat-gemma-2b-v0,3.6382812500000004,True,real_attachments/C_efficiency_evolution/detailed_results/LenguajeNaturalAI_leniachat-gemma-2b-v0/results_2024-09-03T08-54-22.794959.json,3.63828125,chat_finetuned,5.737240998088876,2024-09-01,4.440892098500626e-16
LenguajeNaturalAI/leniachat-qwen2-1.5B-v0,3.873697916666666,True,real_attachments/C_efficiency_evolution/detailed_results/LenguajeNaturalAI_leniachat-qwen2-1.5B-v0/results_2024-09-30T10-56-03.778577.json,3.873697916666666,chat_finetuned,8.580803348718375,2024-09-30,0.0
LeroyDyer/CheckPoint_A,11.385416666666666,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_CheckPoint_A/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/CheckPoint_B,6.830468750000001,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_CheckPoint_B/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/CheckPoint_C,12.960156250000002,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_CheckPoint_C/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/LCARS_AI_001,13.328906250000003,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_LCARS_AI_001/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/LCARS_AI_1x4_003_SuperAI,15.560156250000004,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_LCARS_AI_1x4_003_SuperAI/results_2025-02-13T18-27-04.338360.json,15.560156250000004,chat_finetuned,19.518229049313643,2024-08-07,0.0
LeroyDyer/LCARS_AI_StarTrek_Computer,7.444270833333334,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_LCARS_AI_StarTrek_Computer/results_2025-02-13T18-27-04.338360.json,7.444270833333334,chat_finetuned,14.613893572975764,2024-08-07,0.0
LeroyDyer/LCARS_TOP_SCORE,12.426822916666671,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_LCARS_TOP_SCORE/results_2025-02-13T18-27-04.338360.json,12.426822916666673,chat_finetuned,20.322005404213282,2024-08-08,-1.7763568394002505e-15
LeroyDyer/Mixtral_AI_SwahiliTron_7b,1.920572916666666,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_Mixtral_AI_SwahiliTron_7b/results_2025-02-13T18-27-04.338360.json,1.920572916666666,chat_finetuned,4.358661915319342,2024-07-12,0.0
LeroyDyer/SpydazWebAI_Human_AGI,7.379427083333333,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWebAI_Human_AGI/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWebAI_Human_AGI_001,8.224479166666667,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWebAI_Human_AGI_001/results_2025-02-13T18-27-04.338360.json,,,,,
LeroyDyer/SpydazWeb_AI_CyberTron_Ultra_7b,10.303125000000003,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_CyberTron_Ultra_7b/results_2025-02-13T18-27-04.338360.json,10.303125000000003,chat_finetuned,13.566675630986595,2024-07-12,0.0
LeroyDyer/SpydazWeb_AI_HumanAGI_001_M2,15.254427083333335,True,real_attachments/C_efficiency_evolution/detailed_results/LeroyDyer_SpydazWeb_AI_HumanAGI_001_M2/results_2025-02-13T18-27-04.338360.json,,,,,
