scenario,horizon_months,target_date,technical_half_life_months,forecast,lo,hi,compute_budget,loss,scale_logit_gain,technology_logit_gain,N_B,D_B,N_extrapolated,D_extrapolated,past_last_matched_release_years,interval
quarter_historical_growth,0,2025-03-13,24.0,38.72621187989484,22.947610985139754,57.15934878755625,3.303422000000004e+24,1.8694375392408609,-0.0,0.0,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
quarter_historical_growth,0,2025-03-13,inf,38.72621187989484,22.947610985139754,57.15934878755625,3.303422000000004e+24,1.8694375392408609,-0.0,0.0,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
quarter_historical_growth,12,2026-03-13,12.0,44.92991580971077,23.156360321359816,72.93898902542507,4.2775792293302593e+24,1.862450949640142,0.0445641958361479,0.21076849254779828,75.10204915538209,8349.96571527533,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
quarter_historical_growth,12,2026-03-13,24.0,45.826219618979366,22.885945966453317,74.76062923393218,4.2775792293302593e+24,1.862450949640142,0.0445641958361479,0.24693064882713525,75.10204915538209,8349.96571527533,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
quarter_historical_growth,12,2026-03-13,inf,46.951682638716896,22.730727628147015,77.56361677610442,4.2775792293302593e+24,1.862450949640142,0.0445641958361479,0.29218717272075245,75.10204915538209,8349.96571527533,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
quarter_historical_growth,24,2027-03-13,12.0,48.6614440686241,23.580160125392453,80.01538172688211,5.539008961978709e+24,1.8557362469334524,0.08912769848201406,0.3161527388216975,84.39412930721842,9622.15517041023,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
quarter_historical_growth,24,2027-03-13,24.0,51.295440331498966,23.054765133170097,84.97210432123701,5.539008961978709e+24,1.8557362469334524,0.08912769848201406,0.42153698509559656,84.39412930721842,9622.15517041023,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
quarter_historical_growth,24,2027-03-13,inf,55.346150078729494,22.497121601845304,90.73484845940378,5.539008961978709e+24,1.8557362469334524,0.08912769848201406,0.5843743454415049,84.39412930721842,9622.15517041023,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
half_historical_growth,0,2025-03-13,12.0,38.72621187989484,22.947610985139754,57.15934878755625,3.303422000000004e+24,1.8694375392408609,-0.0,0.0,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
half_historical_growth,0,2025-03-13,24.0,38.72621187989484,22.947610985139754,57.15934878755625,3.303422000000004e+24,1.8694375392408609,-0.0,0.0,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
half_historical_growth,0,2025-03-13,inf,38.72621187989484,22.947610985139754,57.15934878755625,3.303422000000004e+24,1.8694375392408609,-0.0,0.0,66.83337041804138,7245.915374501313,False,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
half_historical_growth,12,2026-03-13,12.0,46.03486166032178,23.76001516644059,74.11524033658445,5.539008961978709e+24,1.8557362469334524,0.08912769848201406,0.21076849254779828,84.39412930721842,9622.15517041023,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
half_historical_growth,12,2026-03-13,24.0,46.934421870044915,23.815787828777943,76.40676519692478,5.539008961978709e+24,1.8557362469334524,0.08912769848201406,0.24693064882713525,84.39412930721842,9622.15517041023,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
half_historical_growth,12,2026-03-13,inf,48.06295495046653,23.661554606194937,79.06571275142517,5.539008961978709e+24,1.8557362469334524,0.08912769848201406,0.29218717272075245,84.39412930721842,9622.15517041023,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
half_historical_growth,24,2027-03-13,12.0,50.889160966249605,24.974632131841805,81.4149943684983,9.287526777045263e+24,1.8430805355084126,0.17825292092474387,0.3161527388216975,106.57083034626464,12777.267423813351,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
half_historical_growth,24,2027-03-13,24.0,53.51803805592409,24.604757022775793,86.21390127133333,9.287526777045263e+24,1.8430805355084126,0.17825292092474387,0.42153698509559656,106.57083034626464,12777.267423813351,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
half_historical_growth,24,2027-03-13,inf,57.53691899796428,24.0405315033719,91.58384655193504,9.287526777045263e+24,1.8430805355084126,0.17825292092474387,0.5843743454415049,106.57083034626464,12777.267423813351,True,False,0.4654346338124571,"95% organization+metadata bootstrap, conditional on Q2 and extrapolation assumptions"
