Model,date,type,N,license,exclusion
braindao/DeepSeek-R1-Distill-Qwen-14B-Blunt-Uncensored-Reflective,2025-03-05,chat_finetuned,14.77,,license_unverified;
braindao/DeepSeek-R1-Distill-Qwen-14B-Reflective,2025-03-03,chat_finetuned,14.77,,license_unverified;
braindao/DeepSeek-R1-Distill-Qwen-7B,2025-03-04,chat_finetuned,7.616,mit,
braindao/DeepSeek-R1-Distill-Qwen-7B-Blunt,2025-03-03,chat_finetuned,7.616,,license_unverified;
braindao/DeepSeek-R1-Distill-Qwen-7B-ORPO-Uncensored,2025-03-13,chat_finetuned,7.616,apache-2.0,
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,2025-03-03,chat_finetuned,7.616,,license_unverified;
braindao/Qwen2.5-14B,2025-03-06,pretrained,14.77,apache-2.0,
braindao/Qwen2.5-14B-Instruct,2025-03-06,chat_finetuned,14.77,apache-2.0,
braindao/iq-code-evmind-0.5b,2025-02-20,chat_finetuned,0.494,apache-2.0,
brgx53/3Bgeneral-ECE-PRYMMAL-Martial,2024-10-23,merge,3.821,apache-2.0,
brgx53/3Bgeneralv2-ECE-PRYMMAL-Martial,2024-11-08,merge,3.0,apache-2.0,
brgx53/3Blareneg-ECE-PRYMMAL-Martial,2024-10-23,merge,3.821,apache-2.0,
brgx53/3Blarenegv2-ECE-PRYMMAL-Martial,2024-11-08,merge,7.616,apache-2.0,
brgx53/Barracuda-PRYMMAL-ECE-TW3,2025-03-10,merge,1.544,,license_unverified;
brgx53/LaConfiance-PRYMMAL-ECE-TW3,2025-03-10,merge,1.777,,license_unverified;
bunnycore/Best-Mix-Llama-3.1-8B,2024-10-10,merge,8.03,,license_unverified;
bunnycore/Blabbertron-1.0,2025-03-03,merge,7.613,,license_unverified;
bunnycore/Blabbertron-1.1,2025-03-04,merge,7.613,,license_unverified;
bunnycore/CyberCore-Qwen-2.1-7B,2024-11-23,merge,7.616,,license_unverified;
bunnycore/DeepQwen-3B-LCoT-SCE,2025-02-26,merge,3.396,,license_unverified;
bunnycore/DeepSeek-R1-Distill-Qwen-7B-RRP-Ex,2025-01-27,chat_finetuned,7.616,,license_unverified;
bunnycore/DeepThinker-7B-Sce-v1,2025-02-06,merge,7.613,,license_unverified;
bunnycore/DeepThinker-7B-Sce-v2,2025-02-06,merge,7.613,,license_unverified;
bunnycore/FuseCyberMix-Qwen-2.5-7B-Instruct,2024-12-20,merge,7.616,,license_unverified;
bunnycore/FuseQwQen-7B,2024-12-22,merge,7.616,,license_unverified;
bunnycore/FwF-Qwen-7B-0.1,2025-01-06,merge,7.616,,license_unverified;
bunnycore/FwF-Qwen-7B-0.2,2025-01-15,merge,7.616,,license_unverified;
bunnycore/Gemma-2-2B-Smart,2025-01-13,chat_finetuned,2.614,,license_unverified;
bunnycore/Gemma2-9B-TitanFusion,2025-02-13,merge,10.159,,license_unverified;
bunnycore/HyperLlama-3.1-8B,2024-09-05,merge,8.03,apache-2.0,
bunnycore/Llama-3.1-8B-TitanFusion-Mix,2024-09-23,merge,8.03,,license_unverified;
bunnycore/Llama-3.1-8B-TitanFusion-v3,2024-09-22,merge,8.03,,license_unverified;
bunnycore/Llama-3.2-3B-All-Mix,2024-10-20,merge,3.607,,license_unverified;
bunnycore/Llama-3.2-3B-Bespoke-Thought,2025-02-02,chat_finetuned,3.213,,license_unverified;
bunnycore/Llama-3.2-3B-Booval,2024-10-28,chat_finetuned,3.213,,license_unverified;
bunnycore/Llama-3.2-3B-Deep-Test,2025-01-01,merge,1.803,,license_unverified;
bunnycore/Llama-3.2-3B-Deep-Test,2025-01-02,merge,3.607,,license_unverified;
bunnycore/Llama-3.2-3B-Della,2025-01-19,merge,3.607,,license_unverified;
bunnycore/Llama-3.2-3B-Long-Think,2024-10-24,chat_finetuned,3.213,,license_unverified;
bunnycore/Llama-3.2-3B-Mix-Skill,2024-10-24,chat_finetuned,3.607,,license_unverified;
bunnycore/Llama-3.2-3B-ProdigyPlus,2024-10-25,chat_finetuned,3.607,,license_unverified;
bunnycore/Llama-3.2-3B-ProdigyPlusPlus,2024-10-28,chat_finetuned,3.607,,license_unverified;
bunnycore/Llama-3.2-3B-RP-DeepThink,2024-12-27,merge,3.607,,license_unverified;
bunnycore/Llama-3.2-3B-RRStock,2025-02-03,merge,3.607,,license_unverified;
bunnycore/Llama-3.2-3B-ToxicKod,2025-03-11,merge,3.213,,license_unverified;
bunnycore/Llama-3.2-3b-RP-Toxic-Fuse,2025-03-11,merge,3.213,,license_unverified;
bunnycore/Maestro-S1k-7B-Sce,2025-02-21,merge,7.613,,license_unverified;
bunnycore/Phi-3.5-mini-TitanFusion-0.1,2024-10-13,merge,3.821,,license_unverified;
bunnycore/Phi-4-Model-Stock,2025-01-11,merge,14.66,mit,
bunnycore/Phi-4-Model-Stock-v2,2025-01-17,merge,14.66,,license_unverified;
bunnycore/Phi-4-Model-Stock-v3,2025-01-18,merge,14.66,,license_unverified;
bunnycore/Phi-4-Model-Stock-v4,2025-01-25,merge,14.66,,license_unverified;
bunnycore/Phi-4-RP-v0,2025-01-10,merge,14.66,mit,
bunnycore/Phi-4-RR-Shoup,2025-02-02,merge,14.66,,license_unverified;
bunnycore/Phi-4-RStock-v0.1,2025-02-02,merge,14.66,,license_unverified;
bunnycore/Phi-4-ReasoningRP,2025-01-28,chat_finetuned,14.66,mit,
bunnycore/Phi-4-Sce-exp-v0.1,2025-02-07,merge,14.66,,license_unverified;
bunnycore/Phi-4-Stock-Ex,2025-01-16,merge,14.66,,license_unverified;
bunnycore/Phi-4-Stock-RP,2025-01-12,chat_finetuned,14.66,mit,
bunnycore/Phi-4-Trim-Exp1,2025-02-14,merge,7.503,,license_unverified;
bunnycore/Phi-Seek-4-Sce-V1,2025-02-06,merge,14.66,,license_unverified;
bunnycore/Qandora-2.5-7B-Creative,2024-11-20,merge,7.616,,license_unverified;
bunnycore/QandoraExp-7B,2024-11-11,merge,7.616,,license_unverified;
bunnycore/QandoraExp-7B-Persona,2024-11-12,merge,7.616,,license_unverified;
bunnycore/QandoraExp-7B-v2,2024-11-12,merge,7.616,,license_unverified;
bunnycore/QwQen-3B-LCoT,2024-12-26,merge,3.397,,license_unverified;
bunnycore/QwQen-3B-LCoT-R1,2025-02-23,chat_finetuned,3.085,,license_unverified;
bunnycore/Qwen-2.5-7B-Deep-Sky-T1,2025-02-16,merge,7.613,,license_unverified;
bunnycore/Qwen-2.5-7B-Deep-Stock-v1,2025-01-25,merge,7.613,,license_unverified;
bunnycore/Qwen-2.5-7B-Deep-Stock-v4,2025-01-26,merge,7.613,,license_unverified;
bunnycore/Qwen-2.5-7B-Deep-Stock-v5,2025-02-16,merge,7.613,,license_unverified;
bunnycore/Qwen-2.5-7B-Exp-Sce,2025-02-08,merge,7.613,,license_unverified;
bunnycore/Qwen-2.5-7B-R1-Stock,2025-01-24,merge,7.613,,license_unverified;
bunnycore/Qwen-2.5-7B-Stock-Deep-Bespoke,2025-01-25,merge,7.613,,license_unverified;
bunnycore/Qwen-2.5-7b-S1k,2025-02-20,chat_finetuned,7.613,,license_unverified;
bunnycore/Qwen2.5-1.5B-Model-Stock,2025-02-28,merge,1.776,,license_unverified;
bunnycore/Qwen2.5-3B-Model-Stock,2025-01-15,merge,3.396,,license_unverified;
bunnycore/Qwen2.5-3B-Model-Stock-v2,2025-01-15,merge,3.396,,license_unverified;
bunnycore/Qwen2.5-3B-Model-Stock-v3.1,2025-02-25,merge,3.396,,license_unverified;
bunnycore/Qwen2.5-3B-Model-Stock-v3.2,2025-02-26,chat_finetuned,3.396,,license_unverified;
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,2025-02-28,merge,3.396,,license_unverified;
bunnycore/Qwen2.5-3B-RP-Mix,2024-10-22,chat_finetuned,3.397,,license_unverified;
bunnycore/Qwen2.5-3B-RP-Thinker,2024-12-31,merge,3.397,,license_unverified;
bunnycore/Qwen2.5-3B-RP-Thinker-V2,2024-12-31,merge,3.397,,license_unverified;
bunnycore/Qwen2.5-7B-CyberRombos,2024-11-05,merge,7.616,,license_unverified;
bunnycore/Qwen2.5-7B-Fuse-Exp,2025-03-13,merge,7.616,,license_unverified;
bunnycore/Qwen2.5-7B-Instruct-Fusion,2024-11-02,merge,7.616,,license_unverified;
bunnycore/Qwen2.5-7B-Instruct-Merge-Stock-v0.1,2025-03-01,merge,7.613,,license_unverified;
bunnycore/Qwen2.5-7B-MixStock-Sce-V0.3,2025-02-14,chat_finetuned,7.613,,license_unverified;
bunnycore/Qwen2.5-7B-MixStock-V0.1,2025-02-05,merge,7.613,,license_unverified;
bunnycore/Qwen2.5-7B-R1-Bespoke-Stock,2025-01-25,merge,7.613,,license_unverified;
bunnycore/Qwen2.5-7B-R1-Bespoke-Task,2025-01-25,merge,7.613,,license_unverified;
bunnycore/Qwen2.5-7B-RRP-1M,2025-01-26,chat_finetuned,7.613,,license_unverified;
bunnycore/Qwen2.5-7B-RRP-1M-Thinker,2025-02-18,merge,7.613,,license_unverified;
bunnycore/Qwen2.5-7B-RRP-ID,2025-01-27,chat_finetuned,7.616,,license_unverified;
bunnycore/Qwen2.5-7B-Sky-R1-Mini,2025-02-18,merge,7.616,,license_unverified;
bunnycore/QwenMosaic-7B,2024-12-02,merge,7.616,,license_unverified;
bunnycore/Smol-Llama-3.2-3B,2024-12-29,merge,3.607,,license_unverified;
bunnycore/SmolLM2-1.7-Persona,2024-11-15,chat_finetuned,1.711,apache-2.0,
bunnycore/SmolLM2-1.7B-roleplay-lora,2024-11-15,chat_finetuned,3.423,apache-2.0,
bunnycore/Tulu-3.1-8B-SuperNova,2024-11-23,merge,8.03,,license_unverified;
byroneverson/Mistral-Small-Instruct-2409-abliterated,2024-10-13,chat_finetuned,22.247,other,license_unverified;
byroneverson/Yi-1.5-9B-Chat-16K-abliterated,2024-09-03,chat_finetuned,8.829,apache-2.0,
byroneverson/Yi-1.5-9B-Chat-abliterated,2024-09-17,chat_finetuned,8.829,apache-2.0,
c10x/Q-Pluse,2024-10-10,merge,7.616,,license_unverified;
c10x/longthinker,2024-10-10,merge,8.03,,license_unverified;
carsenk/flippa-v6,2024-08-24,chat_finetuned,16.061,llama3.1,
carsenk/phi3.5_mini_exp_825_uncensored,2024-08-29,chat_finetuned,3.821,apache-2.0,
cat-searcher/gemma-2-9b-it-sppo-iter-1,2024-08-09,chat_finetuned,9.242,,license_unverified;
cat-searcher/gemma-2-9b-it-sppo-iter-1-evol-1,2024-08-09,chat_finetuned,9.242,,license_unverified;
cckm/tinymistral_950m,2025-01-13,pretrained,0.955,mit,
cgato/TheSalt-L3-8b-v0.3.2,2024-06-26,chat_finetuned,8.03,cc-by-nc-4.0,
chargoddard/prometheus-2-llama-3-8b,2024-06-26,chat_finetuned,8.03,apache-2.0,
chujiezheng/Llama-3-Instruct-8B-SimPO-ExPO,2024-06-26,chat_finetuned,8.03,llama3,
chujiezheng/Mistral7B-PairRM-SPPO-ExPO,2024-09-21,chat_finetuned,7.242,apache-2.0,
cjvt/GaMS-1B,2025-02-13,continued,1.54,apache-2.0,
cloudyu/Llama-3-70Bx2-MOE,2024-06-27,chat_finetuned,126.926,llama3,
cloudyu/Llama-3.2-3Bx4,2025-01-27,chat_finetuned,9.949,,license_unverified;
cloudyu/Mixtral_11Bx2_MoE_19B,2025-02-16,chat_finetuned,19.188,cc-by-nc-4.0,
cloudyu/Mixtral_34Bx2_MoE_60B,2024-08-22,merge,60.814,apache-2.0,
cloudyu/Mixtral_7Bx2_MoE,2024-12-31,chat_finetuned,12.879,cc-by-nc-4.0,
cloudyu/S1-Llama-3.2-3Bx4-MoE,2025-02-05,chat_finetuned,9.555,llama3,
cloudyu/Yi-34Bx2-MoE-60B-DPO,2024-08-06,chat_finetuned,60.814,apache-2.0,
cluebbers/Llama-3.1-8B-paraphrase-type-generation-apty-ipo,2024-11-18,chat_finetuned,8.03,apache-2.0,
cluebbers/Llama-3.1-8B-paraphrase-type-generation-apty-sigmoid,2024-11-18,chat_finetuned,8.03,apache-2.0,
cluebbers/Llama-3.1-8B-paraphrase-type-generation-etpc,2024-11-18,chat_finetuned,8.03,apache-2.0,
cognitivecomputations/Dolphin3.0-Llama3.1-8B,2025-01-05,chat_finetuned,8.03,llama3.1,
cognitivecomputations/Dolphin3.0-Llama3.2-1B,2025-03-12,chat_finetuned,1.236,llama3.2,
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,2025-03-02,chat_finetuned,0.494,apache-2.0,
cognitivecomputations/Dolphin3.0-R1-Mistral-24B,2025-02-07,chat_finetuned,23.572,,license_unverified;
cognitivecomputations/dolphin-2.9-llama3-8b,2024-06-12,chat_finetuned,8.03,other,license_unverified;
cognitivecomputations/dolphin-2.9.1-llama-3-70b,2024-06-27,chat_finetuned,70.554,llama3,
cognitivecomputations/dolphin-2.9.1-yi-1.5-34b,2024-07-27,chat_finetuned,34.389,apache-2.0,
cognitivecomputations/dolphin-2.9.1-yi-1.5-9b,2024-08-02,chat_finetuned,8.829,apache-2.0,
cognitivecomputations/dolphin-2.9.2-Phi-3-Medium,2024-08-05,chat_finetuned,,mit,invalid_N;
cognitivecomputations/dolphin-2.9.2-Phi-3-Medium-abliterated,2024-06-27,chat_finetuned,13.96,mit,
cognitivecomputations/dolphin-2.9.2-Phi-3-Medium-abliterated,2024-08-05,chat_finetuned,13.96,mit,
cognitivecomputations/dolphin-2.9.2-qwen2-72b,2024-10-20,chat_finetuned,72.0,other,license_unverified;
cognitivecomputations/dolphin-2.9.2-qwen2-7b,2024-07-10,chat_finetuned,7.616,apache-2.0,
cognitivecomputations/dolphin-2.9.3-Yi-1.5-34B-32k,2024-07-27,chat_finetuned,34.0,apache-2.0,
cognitivecomputations/dolphin-2.9.3-mistral-7B-32k,2024-07-04,chat_finetuned,7.248,apache-2.0,
cognitivecomputations/dolphin-2.9.3-mistral-nemo-12b,2024-07-26,chat_finetuned,12.248,apache-2.0,
cognitivecomputations/dolphin-2.9.4-gemma2-2b,2024-08-25,chat_finetuned,2.614,gemma,
cognitivecomputations/dolphin-2.9.4-llama3.1-8b,2024-09-17,chat_finetuned,8.03,llama3.1,
collaiborateorg/Collaiborator-MEDLLM-Llama-3-8B-v2,2024-06-27,chat_finetuned,8.03,,license_unverified;
cpayne1303/cp2024,2024-11-26,pretrained,0.031,apache-2.0,
cpayne1303/cp2024-instruct,2024-11-27,continued,0.031,apache-2.0,
cpayne1303/llama-43m-beta,2024-11-30,continued,0.043,apache-2.0,
cpayne1303/llama-43m-beta,2024-12-04,continued,0.043,apache-2.0,
cpayne1303/smallcp2024,2024-11-27,pretrained,0.002,apache-2.0,
crestf411/MN-Slush,2025-01-04,continued,12.248,,license_unverified;
cstr/llama3.1-8b-spaetzle-v90,2024-09-15,merge,8.03,llama3,
cyberagent/calm3-22b-chat,2024-07-04,chat_finetuned,22.543,apache-2.0,
darkc0de/BuddyGlassNeverSleeps,2024-09-16,chat_finetuned,8.03,,license_unverified;
darkc0de/BuddyGlassUncensored2025.2,2025-01-15,chat_finetuned,10.306,apache-2.0,
darkc0de/BuddyGlass_v0.3_Xortron7MethedUpSwitchedUp,2024-09-15,merge,0.007,,license_unverified;
databricks/dbrx-base,,other,0.0,other,license_unverified;missing_submission_date;invalid_N;
databricks/dbrx-instruct,2024-06-12,chat_finetuned,131.597,other,license_unverified;
databricks/dolly-v1-6b,2024-06-12,pretrained,6.0,cc-by-nc-4.0,
databricks/dolly-v2-12b,2024-06-12,chat_finetuned,12.0,mit,
databricks/dolly-v2-3b,2024-06-12,chat_finetuned,3.0,mit,
databricks/dolly-v2-7b,2024-06-12,chat_finetuned,7.0,mit,
davidkim205/Rhea-72b-v0.5,2024-09-15,chat_finetuned,72.0,apache-2.0,
davidkim205/nox-solar-10.7b-v4,2024-10-04,chat_finetuned,10.732,apache-2.0,
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-01-22,chat_finetuned,70.554,mit,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,2025-01-20,chat_finetuned,8.03,mit,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2025-01-20,chat_finetuned,1.777,mit,
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2025-01-20,chat_finetuned,14.77,mit,
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2025-01-21,chat_finetuned,32.764,mit,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2025-01-20,chat_finetuned,7.616,mit,
deepseek-ai/deepseek-llm-67b-chat,2024-06-12,chat_finetuned,67.0,other,license_unverified;
deepseek-ai/deepseek-llm-7b-base,2024-06-12,pretrained,7.0,other,license_unverified;
deepseek-ai/deepseek-llm-7b-chat,2024-06-12,chat_finetuned,7.0,other,license_unverified;
deepseek-ai/deepseek-moe-16b-base,2024-06-12,pretrained,16.376,other,license_unverified;
deepseek-ai/deepseek-moe-16b-chat,2024-06-12,chat_finetuned,16.376,other,license_unverified;
dfurman/CalmeRys-78B-Orpo-v0.1,2024-09-24,chat_finetuned,77.965,mit,
dfurman/Llama-3-70B-Orpo-v0.1,2024-08-30,chat_finetuned,70.554,llama3,
dfurman/Llama-3-8B-Orpo-v0.1,2024-08-30,chat_finetuned,8.03,llama3,
dfurman/Llama-3-8B-Orpo-v0.1,2024-08-30,chat_finetuned,8.03,llama3,
dfurman/Qwen2-72B-Orpo-v0.1,2024-08-22,chat_finetuned,72.699,other,license_unverified;
dicta-il/dictalm2.0,2024-07-31,continued,7.251,apache-2.0,
dicta-il/dictalm2.0-instruct,2024-07-31,chat_finetuned,7.251,apache-2.0,
distilbert/distilgpt2,2024-06-12,pretrained,0.088,apache-2.0,
divyanshukunwar/SASTRI_1_9B,2024-11-23,chat_finetuned,5.211,apache-2.0,
djuna/G2-BigGSHT-27B-2,2024-11-06,merge,27.227,,license_unverified;
djuna/G2-GSHT,2024-10-05,merge,10.159,,license_unverified;
djuna/Gemma-2-gemmama-9b,2024-10-05,merge,10.159,,license_unverified;
djuna/L3.1-ForStHS,2024-09-15,merge,8.03,,license_unverified;
djuna/L3.1-Promissum_Mane-8B-Della-1.5-calc,2024-10-29,merge,8.03,,license_unverified;
djuna/L3.1-Promissum_Mane-8B-Della-calc,2024-10-20,merge,8.03,,license_unverified;
djuna/L3.1-Purosani-2-8B,2024-10-20,merge,8.03,,license_unverified;
djuna/L3.1-Suze-Vume-calc,2024-09-04,merge,8.03,,license_unverified;
djuna/MN-Chinofun,2024-09-23,merge,12.248,,license_unverified;
djuna/MN-Chinofun-12B-2,2024-11-26,merge,12.248,,license_unverified;
djuna/MN-Chinofun-12B-3,2024-12-05,merge,12.248,,license_unverified;
djuna/MN-Chinofun-12B-4,2025-01-26,merge,12.248,,license_unverified;
djuna/Q2.5-Partron-7B,2024-11-08,merge,7.613,,license_unverified;
djuna/Q2.5-Veltha-14B,2024-12-22,merge,14.766,,license_unverified;
djuna/Q2.5-Veltha-14B-0.5,2024-12-22,merge,14.766,,license_unverified;
djuna-test-lab/TEST-L3.2-ReWish-3B,2024-10-24,merge,3.213,,license_unverified;
djuna-test-lab/TEST-L3.2-ReWish-3B-ties-w-base,2024-10-23,merge,3.213,,license_unverified;
dnhkng/RYS-Medium,2024-07-17,continued,18.731,mit,
dnhkng/RYS-Llama-3-8B-Instruct,2024-08-07,chat_finetuned,8.248,mit,
dnhkng/RYS-Llama-3-Huge-Instruct,2024-08-07,chat_finetuned,99.646,mit,
dnhkng/RYS-Llama-3-Large-Instruct,2024-08-07,chat_finetuned,73.976,mit,
dnhkng/RYS-Llama-3.1-8B-Instruct,2024-08-30,chat_finetuned,8.685,mit,
dnhkng/RYS-Llama3.1-Large,2024-08-22,chat_finetuned,81.677,mit,
dnhkng/RYS-Phi-3-medium-4k-instruct,2024-08-07,pretrained,17.709,mit,
dnhkng/RYS-XLarge,2024-08-07,chat_finetuned,77.965,mit,
dnhkng/RYS-XLarge-base,2024-08-30,chat_finetuned,77.972,mit,
dnhkng/RYS-XLarge2,2024-10-11,chat_finetuned,77.965,,license_unverified;
dreamgen/WizardLM-2-7B,2024-06-27,chat_finetuned,7.242,apache-2.0,
dustinwloring1988/Reflexis-8b-chat-v1,2024-09-14,chat_finetuned,8.03,,license_unverified;
dustinwloring1988/Reflexis-8b-chat-v2,2024-09-14,chat_finetuned,8.03,,license_unverified;
dustinwloring1988/Reflexis-8b-chat-v3,2024-09-14,chat_finetuned,8.03,,license_unverified;
dustinwloring1988/Reflexis-8b-chat-v4,2024-09-14,chat_finetuned,8.03,,license_unverified;
dustinwloring1988/Reflexis-8b-chat-v5,2024-09-14,chat_finetuned,8.03,,license_unverified;
dustinwloring1988/Reflexis-8b-chat-v6,2024-09-14,chat_finetuned,8.03,,license_unverified;
dustinwloring1988/Reflexis-8b-chat-v7,2024-09-14,chat_finetuned,8.0,,license_unverified;
duyhv1411/Llama-3.2-1B-en-vi,2025-03-06,chat_finetuned,1.236,,license_unverified;
duyhv1411/Llama-3.2-3B-en-vi,2025-03-06,chat_finetuned,1.236,,license_unverified;
dwikitheduck/gemma-2-2b-id,2024-11-14,chat_finetuned,2.0,gemma,
dwikitheduck/gemma-2-2b-id-inst,2024-11-24,chat_finetuned,2.0,gemma,
dwikitheduck/gemma-2-2b-id-instruct,2024-11-15,chat_finetuned,2.0,gemma,
dwikitheduck/gen-inst-1,2024-11-24,chat_finetuned,14.77,apache-2.0,
dwikitheduck/gen-try1,2024-11-12,chat_finetuned,14.77,apache-2.0,
dwikitheduck/gen-try1-notemp,2024-11-13,chat_finetuned,14.77,,license_unverified;
dzakwan/dzakwan-MoE-4x7b-Beta,2024-08-05,merge,24.154,apache-2.0,
ehristoforu/Falcon3-8B-Franken-Basestruct,2025-01-06,chat_finetuned,8.406,,license_unverified;
ehristoforu/Falcon3-MoE-2x7B-Insruct,2024-12-22,pretrained,13.401,other,license_unverified;
ehristoforu/Gemma2-9B-it-psy10k-mental_health,2024-07-31,chat_finetuned,9.242,apache-2.0,
ehristoforu/Gemma2-9b-it-train6,2024-07-31,chat_finetuned,9.242,apache-2.0,
ehristoforu/HappyLlama1,2024-11-30,chat_finetuned,8.03,apache-2.0,
ehristoforu/QwenQwen2.5-7B-IT,2025-01-30,chat_finetuned,7.613,,license_unverified;
ehristoforu/QwenQwen2.5-7B-IT-Dare,2025-01-30,chat_finetuned,7.613,,license_unverified;
ehristoforu/RQwen-v0.1,2024-11-24,chat_finetuned,14.77,apache-2.0,
ehristoforu/RQwen-v0.2,2024-11-25,chat_finetuned,14.77,apache-2.0,
ehristoforu/SoRu-0009,2024-11-27,chat_finetuned,0.494,apache-2.0,
ehristoforu/coolqwen-3b-it,2025-01-02,chat_finetuned,3.085,other,license_unverified;
ehristoforu/della-70b-test-v1,2025-02-06,chat_finetuned,70.554,,license_unverified;
ehristoforu/falcon3-ultraset,2025-01-02,chat_finetuned,7.456,apache-2.0,
ehristoforu/fd-lora-merged-16x32,2025-02-02,chat_finetuned,1.776,mit,
ehristoforu/fd-lora-merged-64x128,2025-02-02,chat_finetuned,1.777,mit,
ehristoforu/fp4-14b-it-v1,2025-01-19,chat_finetuned,14.66,,license_unverified;
ehristoforu/fp4-14b-v1-fix,2025-01-20,chat_finetuned,14.66,,license_unverified;
ehristoforu/fq2.5-7b-it-normalize_false,2025-01-16,chat_finetuned,7.616,,license_unverified;
ehristoforu/fq2.5-7b-it-normalize_true,2025-01-16,chat_finetuned,7.616,,license_unverified;
ehristoforu/frqwen2.5-from7b-duable4layers-it,2025-01-17,chat_finetuned,8.545,,license_unverified;
ehristoforu/frqwen2.5-from7b-it,2025-01-17,chat_finetuned,13.206,,license_unverified;
ehristoforu/mllama-3.1-8b-instruct,2024-12-04,merge,8.03,,license_unverified;
ehristoforu/mllama-3.1-8b-it,2024-12-04,merge,8.03,,license_unverified;
ehristoforu/moremerge,2025-01-27,chat_finetuned,7.613,,license_unverified;
ehristoforu/moremerge-upscaled,2025-01-27,chat_finetuned,8.545,,license_unverified;
ehristoforu/phi-4-25b,2025-01-12,chat_finetuned,24.883,,license_unverified;
ehristoforu/qwen2.5-test-32b-it,2024-12-07,chat_finetuned,32.764,,license_unverified;
ehristoforu/qwen2.5-with-lora-think-3b-it,2025-01-10,chat_finetuned,3.086,other,license_unverified;
ehristoforu/rmoe-v1,2025-01-31,chat_finetuned,11.026,mit,
ehristoforu/rufalcon3-3b-it,2025-01-02,chat_finetuned,3.228,apache-2.0,
ehristoforu/ruphi-4b,2025-01-02,chat_finetuned,3.821,apache-2.0,
ehristoforu/testq-32b,2025-01-19,chat_finetuned,56.165,,license_unverified;
ehristoforu/tmoe,2025-01-23,chat_finetuned,11.026,apache-2.0,
ehristoforu/tmoe-v2,2025-01-24,chat_finetuned,11.026,apache-2.0,
ehristoforu/trd-7b-it,2025-01-31,chat_finetuned,7.613,,license_unverified;
ehristoforu/ud-14b,2025-01-28,chat_finetuned,14.766,,license_unverified;
elinas/Chronos-Gold-12B-1.0,2024-09-15,chat_finetuned,12.248,apache-2.0,
ell44ot/gemma-2b-def,2024-11-28,pretrained,1.546,apache-2.0,
euclaise/ReMask-3B,2024-08-10,chat_finetuned,2.795,cc-by-sa-4.0,
eworojoshua/vas-01,2025-02-26,merge,7.616,,license_unverified;
ewre324/Thinker-Llama-3.2-3B-Instruct-Reasoning,2025-01-07,chat_finetuned,3.213,llama3.2,
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,2025-01-07,chat_finetuned,0.494,apache-2.0,
ewre324/Thinker-SmolLM2-135M-Instruct-Reasoning,2025-01-07,chat_finetuned,0.135,apache-2.0,
ewre324/ewre324-R1-SmolLM2-135M-Distill,2025-01-30,chat_finetuned,0.135,,license_unverified;
experiment-llm/exp-3-q-r,2024-12-02,chat_finetuned,7.616,apache-2.0,
facebook/opt-1.3b,2024-06-12,pretrained,1.3,other,license_unverified;
facebook/opt-30b,2024-06-12,pretrained,30.0,other,license_unverified;
failspy/Llama-3-8B-Instruct-MopeyMule,2024-09-21,chat_finetuned,8.03,other,license_unverified;
failspy/Llama-3-8B-Instruct-abliterated,2024-07-03,chat_finetuned,8.03,llama3,
failspy/Meta-Llama-3-70B-Instruct-abliterated-v3.5,2024-08-30,chat_finetuned,70.554,llama3,
failspy/Meta-Llama-3-8B-Instruct-abliterated-v3,2025-02-12,chat_finetuned,8.03,llama3,
failspy/Phi-3-medium-4k-instruct-abliterated-v3,2024-07-29,chat_finetuned,13.96,mit,
failspy/llama-3-70B-Instruct-abliterated,2024-07-03,chat_finetuned,70.554,llama3,
fblgit/TheBeagle-v2beta-32B-MGS,2024-10-30,chat_finetuned,32.764,other,license_unverified;
fblgit/TheBeagle-v2beta-32B-MGS,2024-10-20,chat_finetuned,32.764,other,license_unverified;
fblgit/UNA-SimpleSmaug-34b-v1beta,2024-06-30,chat_finetuned,34.389,apache-2.0,
fblgit/UNA-TheBeagle-7b-v1,2024-06-30,chat_finetuned,7.242,cc-by-nc-nd-4.0,license_unverified;
fblgit/UNA-ThePitbull-21.4B-v2,2024-06-30,chat_finetuned,21.421,afl-3.0,license_unverified;
fblgit/cybertron-v4-qw7B-MGS,2024-10-29,chat_finetuned,7.616,other,license_unverified;
fblgit/cybertron-v4-qw7B-UNAMGS,2024-11-18,chat_finetuned,7.616,other,license_unverified;
fblgit/juanako-7b-UNA,2024-06-30,chat_finetuned,7.242,apache-2.0,
fblgit/miniclaus-qw1.5B-UNAMGS,2024-11-01,chat_finetuned,1.777,other,license_unverified;
fblgit/miniclaus-qw1.5B-UNAMGS-GRPO,2025-02-03,chat_finetuned,1.544,other,license_unverified;
fblgit/pancho-v1-qw25-3B-UNAMGS,2024-11-12,continued,3.397,other,license_unverified;
