Model,date,type,N,license,exclusion
Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,2025-02-28,merge,72.706,apache-2.0,
BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,2024-11-24,merge,72.7,,license_unverified;
BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,2024-09-22,merge,28.309,apache-2.0,
BlackBeenie/Bloslain-8B-v0.2,2024-11-19,merge,8.03,,license_unverified;
BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,2024-12-29,chat_finetuned,8.03,apache-2.0,
BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,2024-11-06,merge,20.245,,license_unverified;
BlackBeenie/Neos-Gemma-2-9b,2024-11-11,chat_finetuned,9.242,apache-2.0,
BlackBeenie/Neos-Llama-3.1-8B,2024-11-12,chat_finetuned,8.03,apache-2.0,
BlackBeenie/Neos-Llama-3.1-base,2024-11-11,chat_finetuned,4.65,,license_unverified;
BlackBeenie/Neos-Phi-3-14B-v0.1,2024-11-27,chat_finetuned,13.96,apache-2.0,
BlackBeenie/llama-3-luminous-merged,2024-10-11,merge,8.03,,license_unverified;
BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,2024-10-19,chat_finetuned,8.03,,license_unverified;
Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,2024-12-16,chat_finetuned,5.199,llama3.2,
BoltMonkey/DreadMix,2024-10-13,merge,8.03,,license_unverified;
BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,2024-10-10,merge,8.03,llama3.1,
BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,2024-10-01,chat_finetuned,8.03,llama3.1,
BoltMonkey/SuperNeuralDreadDevil-8b,2024-10-13,merge,8.03,,license_unverified;
BrainWave-ML/llama3.2-3B-maths-orpo,2024-10-24,chat_finetuned,3.0,apache-2.0,
BramVanroy/GEITje-7B-ultra,2024-10-28,chat_finetuned,7.242,cc-by-nc-4.0,
BramVanroy/fietje-2,2024-10-28,continued,2.78,mit,
BramVanroy/fietje-2-chat,2024-10-28,chat_finetuned,2.775,mit,
BramVanroy/fietje-2-instruct,2024-10-28,chat_finetuned,2.775,mit,
CYFRAGOVPL/Llama-PLLuM-8B-base,2025-02-28,continued,8.03,llama3.1,
CYFRAGOVPL/Llama-PLLuM-8B-chat,2025-02-28,chat_finetuned,8.03,llama3.1,
CYFRAGOVPL/PLLuM-12B-base,2025-02-28,continued,12.248,apache-2.0,
CYFRAGOVPL/PLLuM-12B-chat,2025-02-28,chat_finetuned,12.248,apache-2.0,
CYFRAGOVPL/PLLuM-12B-nc-base,2025-02-28,continued,12.248,cc-by-nc-4.0,
CYFRAGOVPL/PLLuM-12B-nc-chat,2025-02-28,chat_finetuned,12.248,cc-by-nc-4.0,
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct,2024-12-20,chat_finetuned,3.213,llama3.2,
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,2024-12-19,chat_finetuned,3.213,llama3.2,
Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,2024-07-02,merge,8.03,llama3,
CausalLM/14B,2024-06-12,chat_finetuned,14.0,wtfpl,
CausalLM/34b-beta,2024-06-26,chat_finetuned,34.389,gpl-3.0,
CausalLM/preview-1-hf,2025-01-26,chat_finetuned,9.543,,license_unverified;
Changgil/K2S3-14b-v0.2,2024-06-27,chat_finetuned,14.352,cc-by-nc-4.0,
Changgil/K2S3-v0.1,2024-06-27,chat_finetuned,14.352,cc-by-nc-4.0,
ClaudioItaly/Albacus,2024-09-08,merge,8.987,mit,
ClaudioItaly/Book-Gut12B,2024-09-17,merge,12.248,mit,
ClaudioItaly/Evolutionstory-7B-v2.2,2024-09-01,merge,7.242,mit,
ClaudioItaly/intelligence-cod-rag-7b-v3,2024-12-02,chat_finetuned,7.616,mit,
CohereForAI/aya-23-35B,2024-06-12,chat_finetuned,34.981,cc-by-nc-4.0,
CohereForAI/aya-23-8B,2024-06-12,chat_finetuned,8.028,cc-by-nc-4.0,
CohereForAI/aya-expanse-32b,2024-10-24,chat_finetuned,32.296,cc-by-nc-4.0,
CohereForAI/aya-expanse-8b,2024-10-24,chat_finetuned,8.028,cc-by-nc-4.0,
CohereForAI/c4ai-command-r-plus,2024-06-13,chat_finetuned,103.811,cc-by-nc-4.0,
CohereForAI/c4ai-command-r-plus-08-2024,2024-09-19,chat_finetuned,103.811,cc-by-nc-4.0,
CohereForAI/c4ai-command-r-v01,2024-06-13,chat_finetuned,34.981,cc-by-nc-4.0,
CohereForAI/c4ai-command-r7b-12-2024,2024-12-20,chat_finetuned,8.028,cc-by-nc-4.0,
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,2024-07-04,chat_finetuned,2.506,,license_unverified;
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,2024-07-04,chat_finetuned,2.506,,license_unverified;
Columbia-NLP/LION-Gemma-2b-odpo-v1.0,2024-07-13,chat_finetuned,2.506,,license_unverified;
Columbia-NLP/LION-Gemma-2b-sft-v1.0,2024-07-04,chat_finetuned,2.506,,license_unverified;
Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0,2024-07-04,chat_finetuned,8.03,,license_unverified;
Columbia-NLP/LION-LLaMA-3-8b-odpo-v1.0,2024-07-04,chat_finetuned,8.03,,license_unverified;
Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0,2024-07-04,chat_finetuned,8.03,,license_unverified;
CombinHorizon/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES,2024-12-07,merge,14.77,apache-2.0,
CombinHorizon/Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES,2024-10-29,merge,7.616,apache-2.0,
CombinHorizon/YiSM-blossom5.1-34B-SLERP,2024-08-27,merge,34.389,apache-2.0,
CombinHorizon/huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES,2024-12-07,merge,32.764,apache-2.0,
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,2024-12-07,merge,14.77,apache-2.0,
CombinHorizon/zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES,2024-12-20,merge,32.764,apache-2.0,
ContactDoctor/Bio-Medical-3B-CoT-012025,2025-01-15,chat_finetuned,3.085,other,license_unverified;
ContactDoctor/Bio-Medical-Llama-3-8B,2024-12-24,chat_finetuned,4.015,other,license_unverified;
CoolSpring/Qwen2-0.5B-Abyme,2024-09-04,chat_finetuned,0.494,apache-2.0,
CoolSpring/Qwen2-0.5B-Abyme-merge2,2024-07-27,merge,0.63,apache-2.0,
CoolSpring/Qwen2-0.5B-Abyme-merge3,2024-07-27,merge,0.63,apache-2.0,
Corianas/Neural-Mistral-7B,2024-12-06,chat_finetuned,7.242,apache-2.0,
Corianas/Quokka_2.7b,2024-12-05,chat_finetuned,2.786,apache-2.0,
Corianas/llama-3-reactor,2024-07-23,chat_finetuned,,apache-2.0,invalid_N;
CortexLM/btlm-7b-base-v0.2,2024-06-26,pretrained,6.885,mit,
Cran-May/SCE-2-24B,2025-02-04,chat_finetuned,23.572,,license_unverified;
Cran-May/SCE-3-24B,2025-02-04,chat_finetuned,23.572,,license_unverified;
Cran-May/T.E-8.1,2024-09-29,chat_finetuned,7.616,cc-by-nc-sa-4.0,
Cran-May/merge_model_20250308_2,2025-03-08,merge,14.766,,license_unverified;
Cran-May/merge_model_20250308_3,2025-03-08,merge,14.766,,license_unverified;
Cran-May/merge_model_20250308_4,2025-03-08,merge,14.766,,license_unverified;
Cran-May/tempmotacilla-cinerea-0308,2025-03-09,chat_finetuned,14.766,,license_unverified;
CreitinGameplays/Llama-3.1-8B-R1-v0.1,2025-03-10,chat_finetuned,8.03,mit,
CultriX/Qwen2.5-14B-Broca,2024-12-23,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-BrocaV9,2025-01-10,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-Brocav3,2024-12-23,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-Brocav6,2024-12-23,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-Brocav7,2024-12-23,chat_finetuned,14.766,,license_unverified;
CultriX/Qwen2.5-14B-Emerged,2024-12-19,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-Emergedv3,2024-12-21,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-FinalMerge,2024-12-23,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-Hyper,2025-01-19,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-HyperMarck-dl,2025-02-16,merge,14.766,apache-2.0,
CultriX/Qwen2.5-14B-Hyperionv3,2025-01-19,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-Hyperionv4,2025-01-19,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-Hyperionv5,2025-01-19,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-MegaMerge-pt2,2024-10-25,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-MergeStock,2024-10-24,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-ReasoningMerge,2025-02-18,merge,14.766,apache-2.0,
CultriX/Qwen2.5-14B-Ultimav2,2025-02-05,merge,14.766,apache-2.0,
CultriX/Qwen2.5-14B-Unity,2024-12-21,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-Wernicke,2024-10-22,merge,14.77,apache-2.0,
CultriX/Qwen2.5-14B-Wernicke-SFT,2024-11-17,chat_finetuned,14.77,apache-2.0,
CultriX/Qwen2.5-14B-Wernicke-SLERP,2024-10-25,merge,14.491,,license_unverified;
CultriX/Qwen2.5-14B-Wernickev3,2024-12-19,merge,14.766,,license_unverified;
CultriX/Qwen2.5-14B-partialmergept1,2025-01-19,merge,14.766,,license_unverified;
CultriX/Qwenfinity-2.5-14B,2024-12-23,merge,14.766,,license_unverified;
CultriX/Qwestion-14B,2024-11-23,merge,14.766,,license_unverified;
CultriX/SeQwence-14B,2024-11-20,chat_finetuned,14.766,apache-2.0,
CultriX/SeQwence-14B-EvolMerge,2024-11-27,merge,14.766,apache-2.0,
CultriX/SeQwence-14B-EvolMergev1,2024-11-27,merge,14.766,,license_unverified;
CultriX/SeQwence-14B-v5,2024-11-18,merge,14.766,,license_unverified;
CultriX/SeQwence-14Bv1,2024-11-27,merge,14.766,apache-2.0,
CultriX/SeQwence-14Bv2,2024-12-08,merge,14.766,,license_unverified;
CultriX/SeQwence-14Bv3,2024-11-27,merge,14.766,,license_unverified;
DRXD1000/Atlas-7B,2024-12-10,chat_finetuned,7.768,apache-2.0,
DRXD1000/Phoenix-7B,2024-12-11,chat_finetuned,7.242,apache-2.0,
