tier,Model,actual,prediction,error,supported,Loss_Source
medium,bigscience/bloom-7b1,3.795510241848182,11.385809977370592,7.590299735522409,True,BLOOM paper
medium,google/gemma-2-27b-it,36.17428251510342,27.204602083046165,-8.969680432057256,True,Gemma2 report
medium,google/gemma-2-2b-it,17.046939294966545,10.366469280976872,-6.680470013989673,True,Gemma2 report
medium,google/gemma-2-2b-jpn-it,17.11540570593849,10.36120263397903,-6.754203071959459,True,Gemma2 report
medium,google/gemma-2-9b-it,32.07276025267082,20.445273555921787,-11.627486696749031,True,Gemma2 report
medium,google/gemma-7b-it,13.067087110466217,15.442818570272308,2.375731459806092,True,Gemma report
medium,meta-llama/Meta-Llama-3-70B-Instruct,36.37222412927012,27.197532739683076,-9.174691389587046,True,Llama3 technical report
medium,meta-llama/Meta-Llama-3-8B-Instruct,23.908735693936837,27.642657326659258,3.7339216327224207,True,Llama3 technical report
medium,microsoft/phi-1,5.574318195377169,11.2489785963299,5.674660400952731,True,Phi-1.5 paper
medium,tiiuae/falcon-40b-instruct,10.484506782098748,21.871659066343724,11.387152284244976,True,Falcon technical report
medium,tiiuae/falcon-7b-instruct,5.1165739086852,11.284189695306205,6.167615786621005,True,Falcon technical report
