replicate,power,set,n,weight_L1,rho,top10_overlap,bottom10_overlap,mean_abs_rank_shift
21,1,A3,193752,0.0036745414735353567,0.9999896399491304,0.997677539223782,0.9970066061106524,0.0009541055684160481
21,2,A1,10247,0.003815091942474067,0.9999923477710453,0.9980487804878049,0.9960975609756098,0.0008107731612369554
21,2,A2,16104,0.003815091942474067,0.9999932527228927,0.9987585350713842,0.9981378026070763,0.0007572487722007647
21,2,A3,193752,0.003815091942474067,0.9999862487557647,0.9975227085053675,0.9962840627580511,0.0010885623038630829
22,1,A1,10247,0.0035288746248789173,0.9999937775723172,0.9980487804878049,0.9951219512195122,0.000754945126289215
22,1,A2,16104,0.0035288746248789173,0.9999962976150286,0.9987585350713842,0.9987585350713842,0.0005590216005304814
22,1,A3,193752,0.0035288746248789173,0.9999883826338403,0.9975743187448389,0.9962324525185797,0.0010839379364831893
22,2,A1,10247,0.005666188944372725,0.9999807656323766,0.9990243902439024,0.9970731707317073,0.0012733591921959531
22,2,A2,16104,0.005666188944372725,0.9999888434905267,0.9981378026070763,0.9962756052141527,0.0009511881167838755
22,2,A3,193752,0.005666188944372725,0.9999503476211891,0.9949938067712634,0.993135838150289,0.002150333388933787
23,1,A1,10247,0.00665353877061918,0.9999798363881363,0.9951219512195122,0.9931707317073171,0.0013561393490990168
23,1,A2,16104,0.00665353877061918,0.9999376161129667,0.9900682805710739,0.9931719428926132,0.002346474813858948
23,1,A3,193752,0.00665353877061918,0.9999665879667438,0.9954582989265071,0.9944260941370768,0.0017487954228092976
23,2,A1,10247,0.006096965876739604,0.9999842407457484,0.9951219512195122,0.9990243902439024,0.0012077407751386465
23,2,A2,16104,0.006096965876739604,0.9999582614638549,0.9962756052141527,0.9956548727498448,0.0019323910231779573
23,2,A3,193752,0.006096965876739604,0.9999736045901274,0.9957163501238646,0.9948905862923204,0.001567053559934344
24,1,A1,10247,0.0036960973629005835,0.9999953861336015,0.9990243902439024,0.9960975609756098,0.000640089087143915
24,1,A2,16104,0.0036960973629005835,0.999993917904661,0.9975170701427685,0.9962756052141527,0.0007158589017387971
24,1,A3,193752,0.0036960973629005835,0.9999919485486929,0.998090421139554,0.9971098265895953,0.0008666052429378145
24,2,A1,10247,0.0031467994292469215,0.9999974092958768,0.9980487804878049,1.0,0.00046572885790078453
24,2,A2,16104,0.0031467994292469215,0.9999968075728722,0.9987585350713842,0.9987585350713842,0.0005154878165249278
24,2,A3,193752,0.0031467994292469215,0.9999945780874449,0.9984516928158547,0.9982452518579686,0.000698812081890465
25,1,A1,10247,0.005455014873123366,0.9999903136007756,0.9970731707317073,0.9951219512195122,0.000944067118440738
25,1,A2,16104,0.005455014873123366,0.9999873358361727,0.9975170701427685,0.9962756052141527,0.0010546897846560692
25,1,A3,193752,0.005455014873123366,0.9999782444868129,0.9962840627580511,0.9957163501238646,0.0014496793704608145
25,2,A1,10247,0.004187004590556556,0.9999920156575165,0.9980487804878049,0.9960975609756098,0.000807230338138941
25,2,A2,16104,0.004187004590556556,0.999991369845165,0.9975170701427685,0.9987585350713842,0.000871508567386997
25,2,A3,193752,0.004187004590556556,0.999978044220788,0.9965421139554087,0.9955099091659785,0.001472997212470832
26,1,A1,10247,0.0047736936673336144,0.9999876932743296,0.9970731707317073,0.9931707317073171,0.0010426947421048117
26,1,A2,16104,0.0047736936673336144,0.999992139301621,0.9987585350713842,0.9975170701427685,0.0008041680887445711
26,1,A3,193752,0.0047736936673336144,0.9999627242287566,0.9956647398843931,0.9933422791081751,0.001904651132077527
26,2,A1,10247,0.005012532950911086,0.9999832982517642,0.9980487804878049,0.9980487804878049,0.0011594936197232163
26,2,A2,16104,0.005012532950911086,0.9999915657204436,0.9981378026070763,0.9975170701427685,0.0008404680925203268
26,2,A3,193752,0.005012532950911086,0.9999465939213288,0.9948905862923204,0.9927745664739884,0.002271009990144895
27,1,A1,10247,0.008149057818603117,0.999974285581939,0.9970731707317073,0.9902439024390244,0.001518575883399368
27,1,A2,16104,0.008149057818603117,0.9999577670821341,0.9925512104283054,0.9931719428926132,0.0019343035791448975
27,1,A3,193752,0.008149057818603117,0.9999206545586078,0.9942712634186622,0.990503715937242,0.0026985213238924096
27,2,A1,10247,0.006870469263801898,0.9999817943166139,0.9970731707317073,0.9931707317073171,0.0012582164805673439
27,2,A2,16104,0.006870469263801898,0.9999678089721725,0.9968963376784605,0.9981378026070763,0.001686295968899619
27,2,A3,193752,0.006870469263801898,0.9999412804470869,0.9953034682080925,0.9925165152766309,0.002283188306046004
28,1,A1,10247,0.005459760135177037,0.9999847483291593,0.9970731707317073,0.9941463414634146,0.0011924456840219507
28,1,A2,16104,0.005459760135177037,0.9999578692420777,0.994413407821229,0.9937926753569212,0.0019338023043954978
28,1,A3,193752,0.005459760135177037,0.9999828532387526,0.9969033856317093,0.9957163501238646,0.0012459430064132864
28,2,A1,10247,0.005442954196307585,0.9999826008222761,0.9951219512195122,0.9960975609756098,0.0012751306037449602
28,2,A2,16104,0.005442954196307585,0.9999707578417192,0.9956548727498448,0.9956548727498448,0.001590274862672312
28,2,A3,193752,0.005442954196307585,0.9999833370037542,0.9966453344343518,0.9958195706028076,0.0012327023524028092
29,1,A1,10247,0.002900130339176483,0.9999971643652166,0.9990243902439024,0.9990243902439024,0.0004979190247590859
29,1,A2,16104,0.002900130339176483,0.9999941152884185,0.9968963376784605,0.9981378026070763,0.0007134527829416789
29,1,A3,193752,0.002900130339176483,0.9999965593184336,0.9986065235342692,0.9982452518579686,0.0005577770015059041
29,2,A1,10247,0.0033891096956704184,0.9999963945751743,0.9990243902439024,1.0,0.0005649850469532155
29,2,A2,16104,0.0033891096956704184,0.9999937902298727,0.9981378026070763,0.9981378026070763,0.0007271183038022352
29,2,A3,193752,0.0033891096956704184,0.9999960174884321,0.9981420313790256,0.9982452518579686,0.000601079799495554
30,1,A1,10247,0.00505007793554205,0.9999927717740013,0.9980487804878049,0.9980487804878049,0.0008039732265810894
30,1,A2,16104,0.00505007793554205,0.9999887194878071,0.9975170701427685,0.9968963376784605,0.000992709089872609
30,1,A3,193752,0.00505007793554205,0.9999878253271749,0.9974194880264244,0.9971614368290669,0.0010277034362732441
