indicator,copy,power,family_weight_before,family_weight_after,family_weight_inflation,rho,top10_overlap,bottom10_overlap,mean_abs_rank_shift
dsir_wiki,noise,1,0.025173391956457056,0.04884066855867841,1.940170345067488,0.9988398338281373,0.9691586960765176,0.9720866679679875,0.010225611769711629
dsir_wiki,noise,2,0.01875752643315157,0.035781150120902286,1.9075622923107602,0.999410911149935,0.9781378098770251,0.9798945930119071,0.007233274410653496
dsir_math,exact,1,0.024916934967821977,0.04609716644268047,1.850033581666882,0.9995133372297971,0.980870583642397,0.9793089986336131,0.00659373859431211
dsir_math,exact,2,0.018287597067258556,0.031696548586531835,1.733226539821362,0.9998724548699874,0.9906304899472965,0.9896544993168066,0.0033190402683865644
dsir_math,noise,1,0.024916934967821977,0.048395274141642276,1.9422643356472415,0.9989606439488591,0.9699394885809096,0.9732578567245754,0.009682385634301892
dsir_math,noise,2,0.018287597067258556,0.03506426403301055,1.917379517060135,0.9994916158077258,0.9777474136248292,0.981651376146789,0.006741912375435457
qurater,exact,1,0.03108306325630645,0.055386819431709026,1.7818970728527403,0.999006909708708,0.9740386492289674,0.9722818660940855,0.009382009133961582
qurater,exact,2,0.02790621119832277,0.044264812745109614,1.586199302747699,0.9995449717671948,0.9828225649033769,0.982432168651181,0.006339750130395625
qurater,noise,1,0.03108306325630645,0.05803196866738179,1.8669964471924327,0.9983007866715415,0.9609603747804021,0.9642787429240679,0.012323320643613526
qurater,noise,2,0.02790621119832277,0.04874369206156816,1.7466968810333439,0.9988314210520075,0.9687682998243217,0.9736482529767714,0.010202629981357684
rps_doc_unigram_entropy,exact,1,0.027126271739211984,0.049617796961993234,1.829141779563793,0.9990811070533904,0.9689634979504197,0.9732578567245754,0.009231304597512171
rps_doc_unigram_entropy,exact,2,0.022406988499786607,0.03739850593824506,1.66905543503096,0.9996941336106543,0.9826273667772789,0.9843841499121608,0.005365589172756591
rps_doc_unigram_entropy,noise,1,0.027126271739211984,0.052036947375813464,1.918322867074734,0.99845593918544,0.9586179972672262,0.964669139176264,0.011870879354412774
rps_doc_unigram_entropy,noise,2,0.022406988499786607,0.041249617479481124,1.8409264359587618,0.9990749976037984,0.9699394885809096,0.9750146398594574,0.00916298487235479
rps_doc_frac_unique_words,exact,1,0.058357483417975524,0.09190906778472464,1.574931995035523,0.9960584597716367,0.9387077884052313,0.9387077884052313,0.019282213472831475
rps_doc_frac_unique_words,exact,2,0.06351271360461888,0.07816672412338735,1.2307256246362426,0.9991382282630773,0.9724770642201835,0.9736482529767714,0.008947692350835845
rps_doc_frac_unique_words,noise,1,0.058357483417975524,0.09616272966208345,1.647821736474383,0.9940096028355822,0.9172359945344525,0.9314854577396057,0.02352890168686159
rps_doc_frac_unique_words,noise,2,0.06351271360461888,0.08574851147694916,1.3500999502359983,0.9968695734389478,0.9412453640445052,0.9541284403669725,0.01683771872487272
rps_lines_ending_with_terminal_punctution_mark,exact,1,0.06640035957113177,0.10093926654367193,1.5201614448418783,0.9965269785955033,0.9324614483700957,0.9455397228186609,0.017321847417857996
rps_lines_ending_with_terminal_punctution_mark,exact,2,0.07368802725952453,0.08520360270316824,1.1562747147930366,0.9995268967646911,0.9742338473550654,0.9806753855162991,0.006493960841266964
rps_lines_ending_with_terminal_punctution_mark,noise,1,0.06640035957113177,0.10574594903540123,1.5925508493989444,0.9945588625995921,0.9199687682998243,0.9355846183876635,0.022136631906057695
rps_lines_ending_with_terminal_punctution_mark,noise,2,0.07368802725952453,0.09371310539961575,1.2717548411163753,0.9974473674905671,0.9461253171969549,0.9605699785282061,0.01516406873062045
ad_en,exact,1,0.06422644655707069,0.09808915398569024,1.5272393109671674,0.993681034557506,0.9086472769861409,0.943978137809877,0.02391539854881262
ad_en,exact,2,0.07124468702409784,0.08338423153401596,1.1703922778945193,0.9990325501617655,0.9615459691586961,0.9777474136248292,0.009292827632891422
ad_en,noise,1,0.06422644655707069,0.10278306557582009,1.6003230925205951,0.9911277453345048,0.8965449931680656,0.9355846183876635,0.028161203551333277
ad_en,noise,2,0.07124468702409784,0.09153039645019904,1.2847329432332233,0.9961953860260746,0.9303142689830177,0.9556900253757564,0.018308698730343447
rps_doc_frac_no_alph_words,exact,1,0.06445223172595327,0.09859418167876403,1.5297248681470044,0.996396127749908,0.9410501659184072,0.9422213546749951,0.018229824665750356
rps_doc_frac_no_alph_words,exact,2,0.06736218225731926,0.08100338712999133,1.2025053882690964,0.9993689467101973,0.9759906304899473,0.9779426117509272,0.0075423222343468
rps_doc_frac_no_alph_words,noise,1,0.06445223172595327,0.1033475301769484,1.6034748124219411,0.9939844318883474,0.9219207495608042,0.9307046652352138,0.023416304793167524
rps_doc_frac_no_alph_words,noise,2,0.06736218225731926,0.08900528197212718,1.3212945155507678,0.9970246717283003,0.9422213546749951,0.9554948272496584,0.01630351597814589
rps_doc_frac_chars_top_2gram,exact,1,0.05574516827297295,0.0887354349549555,1.5918049528604132,0.9972602950858097,0.9549092328713644,0.9467109115752489,0.01568197740616935
rps_doc_frac_chars_top_2gram,exact,2,0.058974056582067745,0.07475127626737282,1.2675281403331928,0.9992643536274459,0.9787234042553191,0.9734530548506735,0.007835756494090771
rps_doc_frac_chars_top_2gram,noise,1,0.05574516827297295,0.09295188303183761,1.6674428638670677,0.9954092783249814,0.9379269959008394,0.9340230333788796,0.02049406806116289
rps_doc_frac_chars_top_2gram,noise,2,0.058974056582067745,0.08208982645605513,1.3919650641942818,0.9973642010495739,0.9506148740972087,0.9566660160062463,0.01539739050244333
rps_doc_frac_chars_top_3gram,exact,1,0.06936918626090396,0.10443411013608159,1.5054827044286663,0.9967120704962935,0.9588131953933242,0.9349990240093695,0.017828650032545086
rps_doc_frac_chars_top_3gram,exact,2,0.06540642440520666,0.07975285608613213,1.2193428521951648,0.9994039078180447,0.9798945930119071,0.9765762248682412,0.007108107565407661
rps_doc_frac_chars_top_3gram,noise,1,0.06936918626090396,0.10934221818893539,1.5762361371472504,0.9943032447775182,0.9316806558657037,0.9228967401912942,0.0230917889563431
rps_doc_frac_chars_top_3gram,noise,2,0.06540642440520666,0.08764107624020742,1.3399459921131351,0.9973910384694187,0.9502244778450127,0.9554948272496584,0.015327392751622596
rps_lines_uppercase_letter_fraction,exact,1,0.05129276955286992,0.083084008970102,1.619799626621123,0.9948421050836361,0.9186023814171383,0.9430021471793871,0.02162783577859343
rps_lines_uppercase_letter_fraction,exact,2,0.0587305423134729,0.07432709798396817,1.2655612404743177,0.9983826797639989,0.9539332422408745,0.9711106773374976,0.012121699992406209
rps_lines_uppercase_letter_fraction,noise,1,0.05129276955286992,0.08726419253917875,1.7012961729280647,0.9930505332680061,0.9094280694905329,0.9353894202615655,0.024810414153422528
rps_lines_uppercase_letter_fraction,noise,2,0.0587305423134729,0.08185814274272374,1.3937917056138833,0.9959583827422427,0.9283622877220379,0.9541284403669725,0.018847202465646102
rps_lines_numerical_chars_fraction,exact,1,0.06541787245297753,0.09984812467228861,1.5263126257134028,0.9954263022291865,0.9385125902791334,0.9346086277571736,0.020773800730794656
rps_lines_numerical_chars_fraction,exact,2,0.07015416608171143,0.08295099357280657,1.182410086326023,0.9993560005824556,0.9763810267421432,0.9777474136248292,0.007640292413879924
rps_lines_numerical_chars_fraction,noise,1,0.06541787245297753,0.10448445006942599,1.5971850833964307,0.9930412597243591,0.9143080226429826,0.927386297091548,0.025201013871945534
rps_lines_numerical_chars_fraction,noise,2,0.07015416608171143,0.09108270761042934,1.2983221481720926,0.9968927739763893,0.9400741752879173,0.9592035916455202,0.016598818013049202
rps_doc_word_count,exact,1,0.03557854075635071,0.06229713155385522,1.750974891873138,0.9992464285071815,0.9906304899472965,0.9588131953933242,0.006030338810679879
rps_doc_word_count,exact,2,0.03707873993774247,0.0546151015179986,1.4729492320855773,0.9996555781579314,0.9918016787038845,0.9732578567245754,0.0042228910362757215
rps_doc_word_count,noise,1,0.03557854075635071,0.06534519456156809,1.8366462809440571,0.9989636720594864,0.9779426117509272,0.9601795822760102,0.008785039692508274
rps_doc_word_count,noise,2,0.03707873993774247,0.060215967215594995,1.6240025231898758,0.9992389383993279,0.9763810267421432,0.9672067148155378,0.007701838310644234
rps_doc_num_sentences,exact,1,0.08234470192782811,0.11754460345265468,1.4274701431997154,0.9981406889267854,0.9654499316806558,0.9510052703494046,0.007923749965184015
rps_doc_num_sentences,exact,2,0.08307593908990364,0.0910817438067708,1.0963673092903998,0.999893364166679,0.9912160843255905,0.9875073199297286,0.0019670362450876122
rps_doc_num_sentences,noise,1,0.08234470192782811,0.12300652601721443,1.493800124809788,0.9972339757523426,0.944368534062073,0.9480772984579348,0.013681396650784229
rps_doc_num_sentences,noise,2,0.08307593908990364,0.1000514926201997,1.204337786804015,0.9990501698250974,0.963888346671872,0.9773570173726333,0.009036856324844127
rps_doc_mean_word_length,exact,1,0.04151397302745708,0.0698456340557145,1.6824608429918053,0.9992396510676421,0.9953152449736482,0.9549092328713644,0.005498880954252502
rps_doc_mean_word_length,exact,2,0.04259948046117786,0.05963580577181881,1.39991861699268,0.9996447582617195,0.9947296505953542,0.9748194417333593,0.003911350559564786
rps_doc_mean_word_length,noise,1,0.04151397302745708,0.07333755331823456,1.766575154580593,0.998914329216737,0.9773570173726333,0.9564708178801483,0.008706744020957185
rps_doc_mean_word_length,noise,2,0.04259948046117786,0.06578532929407964,1.5442753897910024,0.9992124474416096,0.9773570173726333,0.9697442904548116,0.007572663864597503
