N,equal_contribution_D,compute_optimal_D
1.7407070396806104,172.97716919045507,86.3371194523482
1.7958239439503387,179.65259052419393,89.66898487587814
1.8526860431707557,186.58562533485284,93.12943146207523
1.9113485963491694,193.78621527257962,96.7234213307405
1.9718686121873237,201.26468564915737,100.45610809654444
2.0343049044828674,209.03176024402094,104.33284425907055
2.098718149285045,217.0985766816605,108.35918887805212
2.165170943860122,225.4767024024569,112.54091554480523
2.233727867523871,234.17815124985472,116.88402066129096
2.3044555444002324,243.21540069765678,121.3947320386778
2.377422708167122,252.60140974214156,126.07951782773335
2.4527002688523285,262.3496374846627,130.94509579385252
2.530361381744407,272.47406243137647,135.99844295002157
2.6104815184855172,282.9892025377696,141.24680556153052
2.6931385404153296,293.9101360267342,146.69770953678136
2.7784127742372506,305.2525230100403,152.3589712190918
