alpha,nu,objective
0.33575,0.28075,4.861654415260416e-05
0.33575,0.28099999999999997,5.1575003521741363e-05
0.33575,0.28125,5.528623860206696e-05
0.33575,0.2815,5.9750036516345234e-05
0.33575,0.28175,6.496618312525209e-05
0.33575,0.282,7.093446302836613e-05
0.33575,0.28225,7.765465956511106e-05
0.33575,0.2825,8.512655481565267e-05
0.33575,0.28275,9.334992960195615e-05
0.33575,0.283,0.00010232456348863755
0.33575,0.28325,0.00011205023478403973
0.33575,0.2835,0.00012252672054114647
0.33575,0.28375,0.00013375379655857002
0.33575,0.284,0.00014573123738150908
0.33575,0.28425,0.00015845881630284785
0.33575,0.2845,0.00017193630536402132
0.33575,0.28474999999999995,0.00018616347535609258
0.33575,0.285,0.00020114009582071848
0.336,0.275,0.00018393238606576243
0.336,0.27525,0.00016952128862721702
0.336,0.2755,0.0001558675126828873
0.336,0.27575,0.0001429708746306513
0.336,0.276,0.00013083118958607355
0.336,0.27625,0.00011944827138331325
0.336,0.2765,0.00010882193257590687
0.336,0.27675,9.895198443758475e-05
0.336,0.277,8.983823696313784e-05
0.336,0.27725,8.148049886922344e-05
0.336,0.2775,7.387857759525786e-05
0.336,0.27775,6.703227930420366e-05
0.336,0.278,6.094140888349547e-05
0.336,0.27825,5.560576994585132e-05
0.336,0.2785,5.1025164830157634e-05
0.336,0.27875,4.71993946023497e-05
0.336,0.279,4.412825905629848e-05
0.336,0.27925,4.1811556714653296e-05
0.336,0.2795,4.024908482977011e-05
0.336,0.27975,3.944063938458664e-05
0.336,0.2798924654965345,3.9317136237713205e-05
0.336,0.28,3.9386015093559634e-05
0.336,0.28025,4.0085005403485846e-05
0.336,0.28049999999999997,4.153740249451588e-05
0.336,0.28075,4.374299728101657e-05
0.336,0.28099999999999997,4.670157941246429e-05
0.336,0.28125,5.041293727446388e-05
0.336,0.2815,5.4876857989543786e-05
0.336,0.28175,6.009312741825799e-05
0.336,0.282,6.606153015997314e-05
0.336,0.28225,7.278184955394638e-05
0.336,0.2825,8.025386768018481e-05
0.336,0.28275,8.847736536045418e-05
0.336,0.283,9.745212215920453e-05
0.336,0.28325,0.00010717791638460277
0.336,0.2835,0.0001176545250894538
0.336,0.28375,0.0001288817240722033
0.336,0.284,0.000140859287877882
0.336,0.28425,0.00015358698979916973
0.336,0.2845,0.00016706460187734595
0.336,0.28474999999999995,0.00018129189490328384
0.336,0.285,0.00019626863841848172
0.33625,0.275,0.00017935347731389426
0.33625,0.27525,0.00016494250218033408
0.33625,0.2755,0.0001512888485641284
0.33625,0.27575,0.0001383923328629563
0.33625,0.276,0.00012625277019223346
0.33625,0.27625,0.00011486997438594045
0.33625,0.2765,0.0001042437579974134
0.33625,0.27675,9.437393230022712e-05
0.33625,0.277,8.526030728898952e-05
0.33625,0.27725,7.690269168017536e-05
0.33625,0.2775,6.93008929130232e-05
0.33625,0.27775,6.24547171503266e-05
0.33625,0.278,5.636396927933713e-05
0.33625,0.27825,5.102845291259376e-05
0.33625,0.2785,4.644797038881404e-05
0.33625,0.27875,4.262232277376233e-05
0.33625,0.279,3.955130986109401e-05
0.33625,0.27925,3.723473017332361e-05
0.33625,0.2795,3.567238096261181e-05
0.33625,0.27975,3.486405821173731e-05
0.33625,0.2798924654965345,3.474062499260725e-05
0.33625,0.28,3.480955663494156e-05
0.33625,0.28025,3.550866967888905e-05
0.33625,0.28049999999999997,3.696118952352715e-05
