domain,requested_keep,n_total,n_keep,actual_doc_keep,word_keep,threshold,baseline_mean,selected_mean,gain,selected_word_mean
c4,0.05,10000,500,0.05,0.08447849348206411,0.4925275346363736,-0.02098316588946183,0.5931538692427045,0.6141370351321663,0.5855085044376689
commoncrawl,1.0,9640,9640,1.0,1.0,-1.8403396705552213,0.07280859552019457,0.07280859552019454,0.0,0.09419900931319158
commoncrawl,0.8,9640,7712,0.8,0.8143634655365947,-0.1658415676862141,0.07280859552019457,0.1909182661384046,0.11810967061821002,0.20807534014892848
commoncrawl,0.5,9640,4820,0.5,0.5298886697915265,0.100517450186724,0.07280859552019457,0.3196229286554781,0.2468143331352835,0.3324309169592052
commoncrawl,0.2,9640,1928,0.2,0.22884758707595623,0.3408313926917665,0.07280859552019457,0.4752867171448925,0.4024781216246979,0.48580968234420924
commoncrawl,0.1,9640,964,0.1,0.1204765432969928,0.4485502273564969,0.07280859552019457,0.559695974181723,0.4868873786615284,0.5719543558416583
commoncrawl,0.05,9640,482,0.05,0.06554217014412947,0.5365476573550731,0.07280859552019457,0.6283630568659524,0.5555544613457578,0.6379280775101343
github,1.0,203752,203752,1.0,1.0,-2.000535991628798,-0.3444984288722766,-0.3444984288722766,0.0,-0.3127649266531828
github,0.8,203752,163002,0.8000019631709137,0.8102920344426461,-0.5835404909885733,-0.3444984288722766,-0.23628472196982062,0.10821370690245599,-0.200683280730324
github,0.5,203752,101876,0.5,0.5344361627138282,-0.326069590739934,-0.3444984288722766,-0.11249816836214083,0.23200026051013578,-0.07619948969683238
github,0.2,203752,40751,0.20000294475637048,0.25677298055079195,-0.102886108871347,-0.3444984288722766,0.04750048670004133,0.3919989155723179,0.07712932124769896
github,0.1,203752,20376,0.10000392634182732,0.14818201663323588,0.0139340213341159,-0.3444984288722766,0.14405272373057784,0.4885511526028544,0.1685088018225012
github,0.05,203752,10188,0.05000196317091366,0.08340388382235166,0.1131296007257207,-0.3444984288722766,0.2289858479074983,0.5734842767797749,0.2522088342235317
stackexchange,1.0,10000,10000,1.0,1.0,-1.7744629421413105,-0.07260158627902255,-0.07260158627902255,0.0,-0.057405256155265025
stackexchange,0.8,10000,8000,0.8,0.8031042374452323,-0.2750889527358331,-0.07260158627902255,0.021978050109437725,0.09457963638846027,0.046820858863724696
stackexchange,0.5,10000,5000,0.5,0.5403881769404949,-0.0570195460653578,-0.07260158627902255,0.13043902732596369,0.20304061360498624,0.1467625367800575
stackexchange,0.2,10000,2000,0.2,0.23994275923362515,0.1427785209205611,-0.07260158627902255,0.2664787384628588,0.3390803247418813,0.28021215575317304
stackexchange,0.1,10000,1000,0.1,0.13184086928350292,0.2446257918504337,-0.07260158627902255,0.3452724904910431,0.4178740767700656,0.35633801074112786
stackexchange,0.05,10000,500,0.05,0.07225434026725062,0.3224389649871659,-0.07260158627902255,0.4101531666228311,0.48275475290185366,0.419378574033012
wikipedia,1.0,10000,10000,1.0,1.0,-1.814631413882379,-0.2057795034410034,-0.20577950344100346,0.0,0.04214553495398308
wikipedia,0.8,10000,8000,0.8,0.9411604296948957,-0.4765590360196541,-0.2057795034410034,-0.07867379248864234,0.12710571095236106,0.08848107248759207
wikipedia,0.5,10000,5000,0.5,0.7860093344860981,-0.1900288900508961,-0.2057795034410034,0.06474644334122243,0.27052594678222586,0.16655165848836911
wikipedia,0.2,10000,2000,0.2,0.4800816942837635,0.0858188300085895,-0.2057795034410034,0.25045108388589227,0.4562305873268957,0.2991501559523528
wikipedia,0.1,10000,1000,0.1,0.3054095193474638,0.2173766970646005,-0.2057795034410034,0.3536100652630505,0.5593895687040539,0.3829706238520583
wikipedia,0.05,10000,500,0.05,0.1828062827932194,0.3241923132542885,-0.2057795034410034,0.4432176750268835,0.6489971784678868,0.46142411485666057
